fund_slug,description
master-ventures,"Date: Oct 23, 2024 | Company: Genius | Amount: $6,000,000 | Stage: Undisclosed | Category: DeFi"
master-ventures,"Date: Jan 28, 2025 | Company: Bluwhale | Amount: $10,000,000 | Stage: Series A | Category: Blockchain Service"
master-ventures,"Date: Feb 04, 2025 | Company: Klink Finance | Amount: $3,200,000 | Stage: Seed | Category: Blockchain Service"
master-ventures,"Date: Dec 18, 2024 | Company: Silencio | Amount: $2,500,000 | Stage: Seed | Category: Blockchain Service"
master-ventures,"Date: Dec 13, 2024 | Company: Moonray | Amount: $1,750,000 | Stage: Undisclosed | Category: GameFi"
lucidblue-ventures,"Date: May 31, 2023 | Company: MetaZone | Amount: $3,000,000 | Stage: Seed | Category: NFT"
lucidblue-ventures,"Date: Jun 07, 2024 | Company: Ink Finance | Amount: $5,000,000 | Stage: Undisclosed | Category: Blockchain Service"
lucidblue-ventures,"Date: Jul 24, 2023 | Company: 2MR Labs | Stage: Strategic | Category: NFT"
lucidblue-ventures,"Date: Feb 04, 2025 | Company: STR8FIRE | Stage: Seed | Category: Blockchain Service"
lucidblue-ventures,"Date: Aug 22, 2024 | Company: Credbull | Amount: $5,200,000 | Stage: Undisclosed | Category: DeFi"
chapter-one,"Date: Sep 24, 2024 | Company: Daylight | Amount: $6,000,000 | Stage: Seed | Category: Blockchain Service"
chapter-one,"Date: Jan 29, 2025 | Company: Mevvy | Amount: $2,800,000 | Stage: Seed | Category: Blockchain Service"
chapter-one,"Date: Feb 04, 2025 | Company: Flashnet | Amount: $4,500,000 | Stage: Seed | Category: DeFi"
chapter-one,"Date: Dec 10, 2024 | Company: Hyperbolic Labs | Amount: $12,000,000 | Stage: Series A | Category: Blockchain Service"
chapter-one,"Date: Dec 04, 2024 | Company: Fiamma | Amount: $4,000,000 | Stage: Seed | Category: Blockchain Infrastructure"
keyrock,"Date: Oct 18, 2023 | Company: Arcadia Finance | Stage: Undisclosed | Category: DeFi"
keyrock,"Date: Nov 16, 2023 | Company: Rho Labs | Amount: $2,200,000 | Stage: Pre Seed | Category: DeFi"
keyrock,"Date: Nov 05, 2024 | Company: Fija | Amount: $1,290,000 | Stage: Seed | Category: DeFi"
keyrock,"Date: Jan 09, 2025 | Company: Rena Labs | Amount: $3,300,000 | Stage: Pre Seed | Category: Blockchain Infrastructure"
keyrock,"Date: Feb 04, 2025 | Company: Olas | Amount: $13,800,000 | Stage: Undisclosed | Category: Blockchain Infrastructure"
weblock,"Date: Nov 20, 2021 | Company: Age of Tanks | Stage: Undisclosed | Category: GameFi"
weblock,"Date: May 29, 2022 | Company: MeMusic | Amount: $1,120,000 | Stage: Seed | Category: Social"
weblock,"Date: May 12, 2022 | Company: BitCoke Token | Amount: $20,000,000 | Stage: Strategic | Category: CeFi"
weblock,"Date: Feb 04, 2025 | Company: STR8FIRE | Stage: Seed | Category: Blockchain Service"
weblock,"Date: Dec 10, 2021 | Company: ATTA | Amount: $2,000,000 | Stage: Seed | Category: Blockchain Service"
dweb3-capital,"Date: May 14, 2024 | Company: Gamic | Amount: $1,800,000 | Stage: Undisclosed | Category: Social"
dweb3-capital,"Date: Jul 25, 2023 | Company: Releap Protocol | Amount: $2,100,000 | Stage: Undisclosed | Category: Social"
dweb3-capital,"Date: Feb 03, 2025 | Company: GOAT Gaming | Amount: $11,000,000 | Stage: Seed | Category: GameFi"
dweb3-capital,"Date: Aug 14, 2024 | Company: Rivalz Network | Amount: $9,000,000 | Stage: Undisclosed | Category: Blockchain Infrastructure"
dweb3-capital,"Date: Aug 02, 2023 | Company: Terminal 3 | Stage: Pre Seed | Category: Blockchain Service"
folius-ventures,"Date: Jan 23, 2025 | Company: METYA | Stage: Incubation | Category: Social"
folius-ventures,"Date: Jan 23, 2025 | Company: Up Network | Stage: Incubation | Category: Blockchain Service"
folius-ventures,"Date: Jan 23, 2025 | Company: Zoo Finance | Stage: Incubation | Category: DeFi"
folius-ventures,"Date: Jan 23, 2025 | Company: Aria | Stage: Incubation | Category: GameFi"
folius-ventures,"Date: Feb 03, 2025 | Company: GOAT Gaming | Amount: $11,000,000 | Stage: Seed | Category: GameFi"
play-ventures,"Date: Sep 23, 2024 | Company: Smolbound | Amount: $6,000,000 | Stage: Seed | Category: GameFi"
play-ventures,"Date: Jun 03, 2024 | Company: HELIX (Hypersonic Laboratories) | Amount: $7,000,000 | Stage: Series A | Category: GameFi"
play-ventures,"Date: Jul 20, 2024 | Company: Nirvana Labs | Amount: $4,000,000 | Stage: Seed | Category: Blockchain Infrastructure"
play-ventures,"Date: Feb 03, 2025 | Company: GOAT Gaming | Amount: $11,000,000 | Stage: Seed | Category: GameFi"
play-ventures,"Date: Aug 24, 2023 | Company: Raleon | Amount: $3,800,000 | Stage: Seed | Category: Social"
ton-ventures,"Date: Nov 11, 2024 | Company: TAC | Amount: $6,500,000 | Stage: Seed | Category: Chain"
ton-ventures,"Date: Nov 06, 2024 | Company: Bion | Stage: Undisclosed | Category: Social"
ton-ventures,"Date: Jan 17, 2025 | Company: EVAA Protocol | Amount: $2,500,000 | Stage: Private Token Sale | Category: DeFi"
ton-ventures,"Date: Jan 07, 2025 | Company: TONCASH | Stage: Strategic | Category: Blockchain Service"
ton-ventures,"Date: Feb 03, 2025 | Company: GOAT Gaming | Amount: $4,000,000 | Stage: Strategic | Category: GameFi"
ledger,"Date: Jul 26, 2024 | Company: Mezo | Amount: $7,500,000 | Stage: Strategic | Category: Chain"
ledger,"Date: Jul 09, 2024 | Company: BOB | Amount: $1,600,000 | Stage: Strategic | Category: Chain"
ledger,"Date: Jan 29, 2025 | Company: Cryptio | Amount: $15,000,000 | Stage: Extended Series A | Category: Blockchain Service"
arbitrum-foundation,"Date: Sep 23, 2024 | Company: Smolbound | Amount: $6,000,000 | Stage: Seed | Category: GameFi"
arbitrum-foundation,"Date: Sep 13, 2024 | Company: Eigenpie | Stage: Seed | Category: DeFi"
arbitrum-foundation,"Date: Oct 01, 2024 | Company: Klink Finance | Stage: Grant | Category: Blockchain Service"
arbitrum-foundation,"Date: Jan 28, 2025 | Company: Bluwhale | Amount: $10,000,000 | Stage: Series A | Category: Blockchain Service"
arbitrum-foundation,"Date: Jan 03, 2025 | Company: AlloyX | Amount: $10,000,000 | Stage: Pre-Series A | Category: Blockchain Service"
citi,"Date: Nov 09, 2022 | Company: TRM Labs | Amount: $70,000,000 | Stage: Undisclosed | Category: Blockchain Service"
citi,"Date: Nov 08, 2022 | Company: Nammu21 | Amount: $5,000,000 | Stage: Series A | Category: Blockchain Service"
citi,"Date: May 10, 2022 | Company: Talos | Amount: $105,000,000 | Stage: Series B | Category: CeFi"
citi,"Date: May 04, 2022 | Company: Amberdata | Amount: $30,000,000 | Stage: Series B | Category: Blockchain Service"
citi,"Date: Jan 28, 2025 | Company: Maalexi | Amount: $3,000,000 | Stage: Debt Financing | Category: Blockchain Service"
moon-capital,"Date: Jun 20, 2023 | Company: Cat Paradise | Stage: Seed | Category: GameFi"
moon-capital,"Date: Jun 04, 2021 | Company: DeepDAO | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Service"
moon-capital,"Date: Jan 28, 2025 | Company: Bluwhale | Amount: $10,000,000 | Stage: Series A | Category: Blockchain Service"
moon-capital,"Date: Feb 26, 2022 | Company: Matrix World | Amount: $5,500,000 | Stage: Seed | Category: GameFi"
moon-capital,"Date: Aug 07, 2024 | Company: Andrena (DAWN) | Amount: $18,000,000 | Stage: Extended Series A | Category: Blockchain Service"
movement,"Date: Oct 21, 2024 | Company: Echo Protocol | Stage: Pre Seed | Category: DeFi"
movement,"Date: Nov 26, 2024 | Company: BRKT | Amount: $1,750,000 | Stage: Seed | Category: DeFi"
movement,"Date: Nov 20, 2024 | Company: Shinami | Amount: $5,645,000 | Stage: Seed | Category: Blockchain Infrastructure"
movement,"Date: Jan 28, 2025 | Company: Bluwhale | Amount: $10,000,000 | Stage: Series A | Category: Blockchain Service"
coinbureau,"Date: Sep 17, 2024 | Company: Filament | Amount: $1,100,000 | Stage: Seed | Category: DeFi"
coinbureau,"Date: Jan 28, 2025 | Company: Bluwhale | Amount: $10,000,000 | Stage: Series A | Category: Blockchain Service"
arkstream-capital,"Date: Sep 26, 2024 | Company: Mind Network | Amount: $10,000,000 | Stage: Pre-Series A | Category: DeFi"
arkstream-capital,"Date: Oct 15, 2024 | Company: Pell Network | Amount: $3,000,000 | Stage: Pre Seed | Category: DeFi"
arkstream-capital,"Date: Jan 27, 2025 | Company: Pell Network | Amount: $3,500,000 | Stage: Strategic | Category: DeFi"
arkstream-capital,"Date: Jan 22, 2025 | Company: SOON | Amount: $22,000,000 | Stage: Undisclosed | Category: Chain"
arkstream-capital,"Date: Aug 30, 2024 | Company: Uniquid Layer | Stage: Undisclosed | Category: DeFi"
sky-mavis,"Date: Sep 09, 2024 | Company: Moku | Amount: $5,350,000 | Stage: Undisclosed | Category: GameFi"
sky-mavis,"Date: Jan 27, 2025 | Company: Fableborne | Amount: $12,400,000 | Stage: Strategic | Category: GameFi"
sky-mavis,"Date: Feb 09, 2024 | Company: Pixels | Amount: $4,800,000 | Stage: Strategic | Category: GameFi"
sky-mavis,"Date: Apr 24, 2024 | Company: Puffverse | Amount: $3,000,000 | Stage: Undisclosed | Category: GameFi"
csp-dao,"Date: Sep 30, 2024 | Company: SecondLive | Amount: $12,000,000 | Stage: Private Token Sale | Category: GameFi"
csp-dao,"Date: Jan 24, 2025 | Company: Hybrid | Stage: Seed | Category: Chain"
csp-dao,"Date: Jan 24, 2025 | Company: Inception | Amount: $3,500,000 | Stage: Seed | Category: DeFi"
csp-dao,"Date: Jan 09, 2025 | Company: Novastro Chain | Amount: $1,200,000 | Stage: Seed | Category: Chain"
csp-dao,"Date: Aug 22, 2024 | Company: Credbull | Amount: $5,200,000 | Stage: Undisclosed | Category: DeFi"
duck-dao,"Date: Nov 14, 2024 | Company: Folks Finance | Amount: $3,200,000 | Stage: Series A | Category: DeFi"
duck-dao,"Date: May 20, 2024 | Company: RunesTerminal | Stage: Undisclosed | Category: Blockchain Service"
duck-dao,"Date: Jan 24, 2025 | Company: Inception | Amount: $3,500,000 | Stage: Seed | Category: DeFi"
duck-dao,"Date: Apr 15, 2024 | Company: RWA Inc | Amount: $1,175,000 | Stage: Private Token Sale | Category: Blockchain Service"
duck-dao,"Date: Apr 11, 2025 | Company: BugsCoin | Amount: $12,000,000 | Stage: Series A | Category: Social"
skynet-trading,"Date: Jan 24, 2025 | Company: Hybrid | Stage: Seed | Category: Chain"
skynet-trading,"Date: Dec 19, 2022 | Company: Concordex | Amount: $1,700,000 | Stage: Seed | Category: DeFi"
skynet-trading,"Date: Apr 27, 2024 | Company: Optix | Amount: $1,776,000 | Stage: Private Token Sale | Category: DeFi"
skynet-trading,"Date: Apr 17, 2024 | Company: Centrifuge | Amount: $15,000,000 | Stage: Series A | Category: DeFi"
skynet-trading,"Date: Apr 15, 2024 | Company: Inference Labs | Amount: $2,300,000 | Stage: Pre Seed | Category: Blockchain Infrastructure"
black-dragon-capital,"Date: Oct 09, 2024 | Company: OpenGradient | Amount: $8,500,000 | Stage: Seed | Category: Blockchain Service"
black-dragon-capital,"Date: Mar 13, 2024 | Company: Edu3Labs | Amount: $2,000,000 | Stage: Undisclosed | Category: Blockchain Service"
black-dragon-capital,"Date: Jun 01, 2024 | Company: Zizle | Amount: $3,000,000 | Stage: Pre Seed | Category: Social"
black-dragon-capital,"Date: Jan 24, 2025 | Company: Inception | Amount: $3,500,000 | Stage: Seed | Category: DeFi"
black-dragon-capital,"Date: Feb 28, 2022 | Company: Exorde | Amount: $1,200,000 | Stage: Seed | Category: Blockchain Service"
web3com-ventures,"Date: Sep 23, 2024 | Company: Zulu Network | Stage: Seed | Category: Chain"
web3com-ventures,"Date: Sep 18, 2024 | Company: Hemi Network | Amount: $15,000,000 | Stage: Strategic | Category: Chain"
web3com-ventures,"Date: Nov 07, 2024 | Company: Pond | Amount: $7,500,000 | Stage: Seed | Category: Blockchain Service"
web3com-ventures,"Date: Jan 24, 2025 | Company: Printr | Amount: $2,500,000 | Stage: Pre Seed | Category: Meme"
web3com-ventures,"Date: Aug 07, 2024 | Company: DeAgentAI | Amount: $6,000,000 | Stage: Seed | Category: Blockchain Infrastructure"
axelar-network,"Date: Mar 28, 2024 | Company: Midas | Amount: $8,750,000 | Stage: Seed | Category: DeFi"
axelar-network,"Date: Mar 27, 2024 | Company: Unstable Protocol | Amount: $2,500,000 | Stage: Seed | Category: DeFi"
axelar-network,"Date: Jan 24, 2025 | Company: Printr | Amount: $2,500,000 | Stage: Pre Seed | Category: Meme"
axelar-network,"Date: Jan 14, 2025 | Company: SYNTHR | Amount: $2,800,000 | Stage: Private Token Sale | Category: DeFi"
axelar-network,"Date: Feb 28, 2024 | Company: ContributionDAO | Amount: $2,800,000 | Stage: Seed | Category: Blockchain Service"
y2z-ventures,"Date: Jul 24, 2024 | Company: DAOBase | Amount: $6,000,000 | Stage: Undisclosed | Category: Blockchain Service"
y2z-ventures,"Date: Jul 04, 2024 | Company: Swords & Dungeons | Amount: $5,000,000 | Stage: Undisclosed | Category: GameFi"
y2z-ventures,"Date: Jan 23, 2025 | Company: Swarm Network | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Service"
y2z-ventures,"Date: Dec 23, 2023 | Company: TonUP | Stage: Undisclosed | Category: DeFi"
y2z-ventures,"Date: Apr 03, 2024 | Company: UTXO Stack | Stage: Seed | Category: Chain"
asymmetric,"Date: May 13, 2024 | Company: Zest Protocol | Amount: $3,500,000 | Stage: Seed | Category: DeFi"
asymmetric,"Date: Jul 18, 2024 | Company: Liquidium | Amount: $2,750,000 | Stage: Seed | Category: NFT"
asymmetric,"Date: Jan 23, 2025 | Company: Ranger | Amount: $1,900,000 | Stage: Undisclosed | Category: DeFi"
asymmetric,"Date: Aug 14, 2024 | Company: Satflow | Amount: $7,600,000 | Stage: Seed | Category: DeFi"
asymmetric,"Date: Aug 05, 2024 | Company: elmnts | Amount: $2,000,000 | Stage: Pre Seed | Category: DeFi"
abcde,"Date: Oct 28, 2024 | Company: CAP | Amount: $1,900,000 | Stage: Pre Seed | Category: DeFi"
abcde,"Date: Nov 26, 2024 | Company: Vanilla Finance | Stage: Pre Seed | Category: DeFi"
abcde,"Date: Jan 22, 2025 | Company: SOON | Amount: $22,000,000 | Stage: Undisclosed | Category: Chain"
abcde,"Date: Dec 26, 2024 | Company: ChainOpera AI | Amount: $17,000,000 | Stage: Seed | Category: Chain"
abcde,"Date: Dec 11, 2024 | Company: Perena | Amount: $3,000,000 | Stage: Pre Seed | Category: DeFi"
reverie,"Date: Oct 09, 2024 | Company: delta | Amount: $11,000,000 | Stage: Undisclosed | Category: Blockchain Infrastructure"
reverie,"Date: Nov 06, 2023 | Company: Llama | Amount: $6,000,000 | Stage: Seed | Category: Blockchain Service"
reverie,"Date: Mar 14, 2024 | Company: Range | Amount: $2,700,000 | Stage: Seed | Category: Blockchain Service"
reverie,"Date: Jan 22, 2025 | Company: Keplr | Amount: $5,000,000 | Stage: Seed | Category: Blockchain Service"
reverie,"Date: Feb 27, 2024 | Company: GEODNET | Amount: $3,500,000 | Stage: Undisclosed | Category: Blockchain Service"
despread,"Date: Oct 02, 2023 | Company: DLC Link | Amount: $2,000,000 | Stage: Pre Seed | Category: Blockchain Service"
despread,"Date: May 13, 2024 | Company: Zest Protocol | Amount: $3,500,000 | Stage: Seed | Category: DeFi"
despread,"Date: Jan 20, 2025 | Company: Hamilton | Amount: $1,700,000 | Stage: Pre Seed | Category: DeFi"
despread,"Date: Feb 07, 2022 | Company: BlockSurvey | Amount: $500,000 | Stage: Pre Seed | Category: Blockchain Service"
despread,"Date: Aug 10, 2023 | Company: Xverse | Amount: $5,000,000 | Stage: Seed | Category: Blockchain Service"
protocol-labs,"Date: Oct 15, 2024 | Company: Blockcast | Amount: $2,850,000 | Stage: Seed | Category: Blockchain Service"
protocol-labs,"Date: Nov 20, 2024 | Company: Randamu | Amount: $3,300,000 | Stage: Pre Seed | Category: Blockchain Infrastructure"
protocol-labs,"Date: Nov 11, 2024 | Company: Akave | Amount: $3,450,000 | Stage: Pre Seed | Category: Chain"
protocol-labs,"Date: Jan 17, 2025 | Company: Reppo | Amount: $2,200,000 | Stage: Undisclosed | Category: Blockchain Infrastructure"
protocol-labs,"Date: Dec 05, 2024 | Company: Spexi | Amount: $11,500,000 | Stage: Series A | Category: Blockchain Service"
chain-gpt-labs,"Date: Jan 17, 2025 | Company: DePINed | Amount: $50,000 | Stage: Grant | Category: Blockchain Service"
chain-gpt-labs,"Date: Jan 15, 2025 | Company: ChainAware.ai | Amount: $50,000 | Stage: Grant | Category: Blockchain Service"
chain-gpt-labs,"Date: Dec 27, 2024 | Company: GT Protocol | Stage: Private Token Sale | Category: DeFi"
chain-gpt-labs,"Date: Dec 27, 2024 | Company: GT Protocol | Stage: Strategic | Category: DeFi"
chain-gpt-labs,"Date: Dec 16, 2024 | Company: OMNIA Protocol | Stage: Undisclosed | Category: Blockchain Infrastructure"
ape-terminal,"Date: Nov 28, 2024 | Company: Moongate | Amount: $2,500,000 | Stage: Undisclosed | Category: Blockchain Service"
ape-terminal,"Date: Jan 17, 2025 | Company: NULS | Stage: M&A | Category: Chain"
ape-terminal,"Date: Jan 17, 2025 | Company: NULS | Amount: $3,400,000 | Stage: Undisclosed | Category: Chain"
ape-terminal,"Date: Apr 22, 2024 | Company: Y8U | Stage: Undisclosed | Category: Blockchain Service"
ape-terminal,"Date: Apr 11, 2024 | Company: Sharpe AI | Stage: Seed | Category: Blockchain Service"
x-21-digital,"Date: Nov 26, 2024 | Company: N3MUS | Amount: $800,000 | Stage: Pre Seed | Category: GameFi"
x-21-digital,"Date: Jan 16, 2025 | Company: Mind AI | Amount: $1,200,000 | Stage: Strategic | Category: Blockchain Service"
x-21-digital,"Date: Jan 09, 2025 | Company: Novastro Chain | Amount: $1,200,000 | Stage: Seed | Category: Chain"
x-21-digital,"Date: Dec 16, 2024 | Company: OMNIA Protocol | Stage: Undisclosed | Category: Blockchain Infrastructure"
x-21-digital,"Date: Aug 14, 2024 | Company: Rivalz Network | Amount: $9,000,000 | Stage: Undisclosed | Category: Blockchain Infrastructure"
ethereal-ventures,"Date: Oct 10, 2024 | Company: Yala Finance | Amount: $8,000,000 | Stage: Seed | Category: DeFi"
ethereal-ventures,"Date: Nov 28, 2024 | Company: Bleap | Amount: $2,300,000 | Stage: Pre Seed | Category: Blockchain Service"
ethereal-ventures,"Date: Nov 12, 2024 | Company: Alluvial | Amount: $4,300,000 | Stage: Strategic | Category: DeFi"
ethereal-ventures,"Date: Jan 16, 2025 | Company: 1Money | Amount: $20,000,000 | Stage: Seed | Category: Chain"
ethereal-ventures,"Date: Aug 06, 2024 | Company: Khalani Network | Amount: $2,500,000 | Stage: Seed | Category: Blockchain Infrastructure"
bankless,"Date: Nov 26, 2024 | Company: Schuman Financial | Amount: $7,360,000 | Stage: Seed | Category: CeFi"
bankless,"Date: Nov 13, 2024 | Company: 0G Labs | Amount: $40,000,000 | Stage: Seed | Category: Chain"
bankless,"Date: Nov 11, 2024 | Company: StakeStone | Amount: $22,000,000 | Stage: Undisclosed | Category: DeFi"
bankless,"Date: Jan 16, 2025 | Company: 1Money | Amount: $20,000,000 | Stage: Seed | Category: Chain"
bankless,"Date: Dec 10, 2024 | Company: Hyperbolic Labs | Amount: $12,000,000 | Stage: Series A | Category: Blockchain Service"
decubate,"Date: Nov 28, 2024 | Company: Moongate | Amount: $2,500,000 | Stage: Undisclosed | Category: Blockchain Service"
decubate,"Date: Jan 16, 2025 | Company: Mind AI | Amount: $1,200,000 | Stage: Strategic | Category: Blockchain Service"
decubate,"Date: Apr 17, 2024 | Company: Plena Finance | Amount: $5,000,000 | Stage: Undisclosed | Category: Blockchain Service"
decubate,"Date: Apr 16, 2024 | Company: Saakuru | Amount: $2,400,000 | Stage: Private Token Sale | Category: Chain"
decubate,"Date: Apr 15, 2024 | Company: RWA Inc | Amount: $1,175,000 | Stage: Private Token Sale | Category: Blockchain Service"
vessel-capital,"Date: May 16, 2024 | Company: Marginal | Stage: Pre Seed | Category: DeFi"
vessel-capital,"Date: May 10, 2022 | Company: Jambo | Amount: $30,000,000 | Stage: Series A | Category: Blockchain Service"
vessel-capital,"Date: Jan 16, 2025 | Company: EarnOS | Amount: $5,000,000 | Stage: Seed | Category: Blockchain Service"
vessel-capital,"Date: Feb 12, 2024 | Company: Hydro Protocol | Stage: Undisclosed | Category: DeFi"
vessel-capital,"Date: Apr 01, 2024 | Company: XION | Amount: $25,000,000 | Stage: Series A | Category: Chain"
burnt,"Date: Jan 16, 2025 | Company: EarnOS | Amount: $5,000,000 | Stage: Seed | Category: Blockchain Service"
burnt,"Date: Apr 02, 2024 | Company: BonusBlock | Amount: $2,300,000 | Stage: Undisclosed | Category: Blockchain Service"
kosmos-ventures,"Date: Oct 01, 2024 | Company: GTE | Amount: $6,942,000 | Stage: Seed | Category: DeFi"
kosmos-ventures,"Date: Mar 26, 2024 | Company: Nubit | Amount: $3,000,000 | Stage: Pre Seed | Category: Chain"
kosmos-ventures,"Date: Jan 10, 2025 | Company: Oh | Amount: $4,500,000 | Stage: Seed | Category: Blockchain Service"
kosmos-ventures,"Date: Dec 18, 2024 | Company: Fraction AI | Amount: $6,000,000 | Stage: Pre Seed | Category: Blockchain Service"
kosmos-ventures,"Date: Dec 05, 2024 | Company: Holyheld | Stage: Undisclosed | Category: Blockchain Service"
falcon-x,"Date: Sep 27, 2023 | Company: Bril Finance | Amount: $3,000,000 | Stage: Seed | Category: DeFi"
falcon-x,"Date: May 08, 2024 | Company: Arbelos | Amount: $28,000,000 | Stage: Seed | Category: CeFi"
falcon-x,"Date: Mar 19, 2024 | Company: Kemet Trading | Amount: $5,000,000 | Stage: Undisclosed | Category: CeFi"
falcon-x,"Date: Jul 23, 2024 | Company: Bitlayer | Amount: $11,000,000 | Stage: Series A | Category: Chain"
falcon-x,"Date: Jan 03, 2025 | Company: Arbelos | Stage: M&A | Category: CeFi"
offchain-labs,"Date: Mar 25, 2024 | Company: ALIENX | Amount: $17,000,000 | Stage: Undisclosed | Category: DeFi"
offchain-labs,"Date: Mar 14, 2024 | Company: Clique | Amount: $8,000,000 | Stage: Series A | Category: Blockchain Service"
offchain-labs,"Date: Jan 03, 2025 | Company: AlloyX | Amount: $10,000,000 | Stage: Pre-Series A | Category: Blockchain Service"
offchain-labs,"Date: Aug 20, 2024 | Company: corn | Amount: $6,700,000 | Stage: Seed | Category: Chain"
offchain-labs,"Date: Aug 19, 2024 | Company: Fabric Cryptography | Amount: $33,000,000 | Stage: Series A | Category: Blockchain Infrastructure"
gem-digital,"Date: Oct 15, 2024 | Company: Praxis Society | Amount: $525,000,000 | Stage: Undisclosed | Category: Social"
gem-digital,"Date: Nov 23, 2023 | Company: Klever | Amount: $10,000,000 | Stage: Undisclosed | Category: Chain"
gem-digital,"Date: May 27, 2024 | Company: Chainge | Amount: $13,000,000 | Stage: Undisclosed | Category: DeFi"
gem-digital,"Date: Dec 24, 2024 | Company: Trrue Chain | Amount: $10,000,000 | Stage: Private Token Sale | Category: Chain"
gem-digital,"Date: Aug 01, 2024 | Company: DuelNow | Amount: $11,000,000 | Stage: Undisclosed | Category: GameFi"
krypital-group,"Date: May 29, 2024 | Company: Aperture Finance | Amount: $6,700,000 | Stage: Series A | Category: DeFi"
krypital-group,"Date: Jun 07, 2024 | Company: Ink Finance | Amount: $5,000,000 | Stage: Undisclosed | Category: Blockchain Service"
krypital-group,"Date: Feb 21, 2024 | Company: ZeroLend | Amount: $3,000,000 | Stage: Seed | Category: DeFi"
krypital-group,"Date: Dec 23, 2024 | Company: Usual | Amount: $10,000,000 | Stage: Series A | Category: DeFi"
krypital-group,"Date: Apr 03, 2024 | Company: Raiinmaker | Amount: $7,500,000 | Stage: Seed | Category: Blockchain Service"
leadblock-partners,"Date: Jun 12, 2024 | Company: Layer3 | Amount: $15,000,000 | Stage: Series A | Category: Social"
leadblock-partners,"Date: Jul 15, 2024 | Company: RateX | Stage: Seed | Category: DeFi"
leadblock-partners,"Date: Dec 23, 2024 | Company: Usual | Amount: $10,000,000 | Stage: Series A | Category: DeFi"
leadblock-partners,"Date: Aug 01, 2024 | Company: Morpho | Amount: $50,000,000 | Stage: Strategic | Category: DeFi"
leadblock-partners,"Date: Apr 16, 2024 | Company: Puffer Finance | Amount: $18,000,000 | Stage: Series A | Category: DeFi"
kronosresearch,"Date: Oct 24, 2024 | Company: BulbaSwap | Amount: $1,300,000 | Stage: Seed | Category: DeFi"
kronosresearch,"Date: Jul 23, 2024 | Company: Multipool | Stage: Undisclosed | Category: DeFi"
kronosresearch,"Date: Dec 20, 2024 | Company: Valhalla | Amount: $1,500,000 | Stage: Pre Seed | Category: DeFi"
kronosresearch,"Date: Dec 19, 2024 | Company: Kettle Finance | Amount: $4,000,000 | Stage: Undisclosed | Category: NFT"
kronosresearch,"Date: Dec 14, 2024 | Company: Yei Finance | Amount: $2,000,000 | Stage: Seed | Category: DeFi"
a-capital,"Date: May 23, 2024 | Company: Plume Network | Amount: $10,000,000 | Stage: Seed | Category: Chain"
a-capital,"Date: Mar 22, 2024 | Company: Sablier | Amount: $4,500,000 | Stage: Seed | Category: Blockchain Service"
a-capital,"Date: Mar 11, 2024 | Company: NFTfi | Amount: $6,000,000 | Stage: Series A | Category: NFT"
a-capital,"Date: Mar 04, 2024 | Company: Stack | Amount: $3,000,000 | Stage: Seed | Category: Blockchain Service"
a-capital,"Date: Dec 18, 2024 | Company: Plume Network | Amount: $20,000,000 | Stage: Series A | Category: Chain"
compound-labs,"Date: Jun 09, 2022 | Company: PartyDAO | Amount: $16,400,000 | Stage: Seed | Category: Social"
compound-labs,"Date: Dec 18, 2024 | Company: Treehouse | Stage: Grant | Category: DeFi"
compound-labs,"Date: Apr 23, 2024 | Company: Prime Intellect | Amount: $5,500,000 | Stage: Seed | Category: Blockchain Service"
huobi-capital,"Date: Sep 10, 2024 | Company: BSX Protocol | Stage: Strategic | Category: DeFi"
huobi-capital,"Date: Oct 28, 2024 | Company: Streamflow | Amount: $1,900,000 | Stage: Undisclosed | Category: Blockchain Service"
huobi-capital,"Date: Nov 26, 2024 | Company: Vanilla Finance | Stage: Pre Seed | Category: DeFi"
huobi-capital,"Date: Dec 13, 2024 | Company: Moonray | Amount: $1,750,000 | Stage: Undisclosed | Category: GameFi"
huobi-capital,"Date: Apr 08, 2025 | Company: Dashfun | Stage: Undisclosed | Category: GameFi"
republic-capital,"Date: Mar 26, 2024 | Company: GUNZ | Amount: $30,000,000 | Stage: Undisclosed | Category: Chain"
republic-capital,"Date: Mar 05, 2024 | Company: Utila | Amount: $11,500,000 | Stage: Seed | Category: Blockchain Service"
republic-capital,"Date: Jun 07, 2024 | Company: Ink Finance | Amount: $5,000,000 | Stage: Undisclosed | Category: Blockchain Service"
republic-capital,"Date: Jul 30, 2024 | Company: Hyperbolic Labs | Amount: $7,000,000 | Stage: Seed | Category: Blockchain Service"
republic-capital,"Date: Dec 12, 2024 | Company: Avalanche | Amount: $250,000,000 | Stage: Otc Purchase | Category: Chain"
magnus-capital,"Date: Mar 19, 2024 | Company: Gull Network | Stage: Strategic | Category: DeFi"
magnus-capital,"Date: Mar 15, 2024 | Company: Ten (Obscuro) | Amount: $9,000,000 | Stage: Undisclosed | Category: Chain"
magnus-capital,"Date: Dec 11, 2024 | Company: Spicenet | Amount: $3,400,000 | Stage: Seed | Category: Chain"
magnus-capital,"Date: Dec 05, 2023 | Company: Ten (Obscuro) | Amount: $7,500,000 | Stage: Undisclosed | Category: Chain"
