fund_slug,description
shenzhen-capital,Shenzhen Capital Group | Type: Venture | Tier: 3 | Based in China
neoclassic-capital,Neoclassic Capital | Type: Venture | Tier: 4 | Location: Not specified
zkcandy,ZKcandy | Type: Corporation | Tier: 4 | Location: Not specified
buzzbridge-capital,BuzzBridge Capital | Type: Venture | Tier: 4 | Location: Not specified
asva-capital,Asva Capital | Type: Venture | Tier: 4 | Location: Not specified
aweh-ventures,Aweh Ventures | Type: Venture | Tier: 4 | Location: Not specified
blokhash-labs,BlokHash Labs | Type: Venture | Tier: 4 | Location: Not specified
chapel-ventures,Chapel Ventures | Type: Venture | Tier: 4 | Location: Not specified
river,River | Type: Corporation | Tier: 4 | Location: Not specified
trident-digital,Trident Digital | Type: Venture | Tier: 4 | Location: Not specified
arche-capital,Arche Capital | Type: Venture | Tier: 4 | Location: Not specified
blockhunters-group,BlockHunters Group | Type: Venture | Tier: 4 | Location: Not specified
digital-hearts-holdings,Digital Hearts Holdings | Type: Venture | Tier: 4 | Location: Not specified
yap-capital,YAP Capital | Type: Venture | Tier: 4 | Based in Germany
istari-ventures,Istari Ventures | Type: Venture | Tier: 4 | Location: Not specified
seven-seas-capital,Seven Seas Capital | Type: Venture | Tier: 4 | Location: Not specified
kinetic-kollective,Kinetic Kollective | Type: Venture | Tier: 4 | Location: Not specified
guildqb,GuildQB | Type: Venture | Tier: 4 | Location: Not specified
t3e,T3E | Type: Venture | Tier: 4 | Location: Not specified
venturedao,VentureDAO | Type: Venture | Tier: 4 | Location: Not specified
moore-club,Moore Club | Type: Corporation | Tier: 4 | Location: Not specified
shoe-on-ventures,Shoe on Ventures | Type: Venture | Tier: 4 | Location: Not specified
xdegods,X+ | Type: Venture | Tier: 4 | Location: Not specified
zentry,Zentry | Type: Corporation | Tier: 4 | Location: Not specified
amity-ventures,Amity Ventures | Type: Venture | Tier: 4 | Location: Not specified
komainu,Komainu | Type: Corporation | Tier: 4 | Location: Not specified
ookc-labs,OOKC Labs | Type: Venture | Tier: 4 | Location: Not specified
squared-ventures,Squared Ventures | Type: Venture | Tier: 4 | Location: Not specified
vamient-capital,Vamient Capital | Type: Venture | Tier: 4 | Location: Not specified
xborg,XBorg | Type: Corporation | Tier: 4 | Location: Not specified
orthogonal-labs,Orthogonal Labs | Type: Venture | Tier: 4 | Location: Not specified
skygg,SkyGG | Type: Corporation | Tier: 4 | Location: Not specified
yurei,Yurei | Type: Venture | Tier: 4 | Location: Not specified
arch,Arch | Type: Corporation | Tier: 4 | Location: Not specified
sarson-funds,Sarson Funds | Type: Corporation | Tier: 4 | Based in United States
w3-fund,w3.fund | Type: Venture | Tier: 4 | Based in Germany
ethos-fund,Ethos Fund | Type: Venture | Tier: 4 | Location: Not specified
t-capital,T Capital | Type: Venture | Tier: 4 | Location: Not specified
verda-ventures,Verda Ventures | Type: Venture | Tier: 4 | Location: Not specified
breyer-capital,Breyer Capital | Type: Venture | Tier: 4 | Based in United States
the-department-of-xyz,The Department of XYZ | Type: Venture | Tier: 4 | Location: Not specified
caliber-venture-builder,Caliber Venture Builder | Type: Venture | Tier: 4 | Location: Not specified
mason-labs,Mason Labs | Type: Venture | Tier: 4 | Location: Not specified
satoshilab,SatoshiLab | Type: Venture | Tier: 4 | Based in Hong Kong
exinity,Exinity | Type: Venture | Tier: 4 | Based in United Kingdom
thanefield-capital,Thanefield Capital | Type: Venture | Tier: 4 | Location: Not specified
metaestate,MetaEstate | Type: Corporation | Tier: 4 | Location: Not specified
rug-radio,Rug Radio | Type: Corporation | Tier: 4 | Location: Not specified
upward-capital,Upward Capital | Type: Venture | Tier: 4 | Location: Not specified
moonhill-capital,Moonhill Capital | Type: Venture | Tier: 4 | Location: Not specified
g-ventures,G. Ventures | Type: Venture | Tier: 4 | Location: Not specified
parami-investors,Parami Investors | Type: Venture | Tier: 4 | Location: Not specified
waldo-holdings,Waldo Holdings | Type: Venture | Tier: 4 | Location: Not specified
theory-vc,Theory VC | Type: Venture | Tier: 4 | Location: Not specified
cv-labs,CV Labs | Type: Venture | Tier: 4 | Based in Switzerland
splinter-node,Splinter Node | Type: Venture | Tier: 4 | Location: Not specified
syncracy-capital,Syncracy Capital | Type: Venture | Tier: 4 | Location: Not specified
curiosity-capital,Curiosity Capital | Type: Venture | Tier: 4 | Based in United Kingdom
zero-dao,ZeroDao | Type: DAO | Tier: 4 | Location: Not specified
lobsterdao,lobsterdao | Type: DAO | Tier: 4 | Location: Not specified
hackquest,HackQuest | Type: Corporation | Tier: 4 | Location: Not specified
spearhead,Spearhead | Type: Venture | Tier: 4 | Location: Not specified
dna-fund,DNA Fund | Type: Venture | Tier: 4 | Based in United States
arkgrow,Arkgrow | Type: Venture | Tier: 4 | Location: Not specified
sunflower-fund,Sunflower Fund | Type: Venture | Tier: 4 | Location: Not specified
sunpump,SunPump | Type: Corporation | Tier: 4 | Location: Not specified
velocity-capital,Velocity Capital | Type: Venture | Tier: 4 | Location: Not specified
ultiverse,Ultiverse | Type: Corporation | Tier: 4 | Location: Not specified
daemon-ventures,Daemon Ventures | Type: Venture | Tier: 4 | Location: Not specified
orbiter-finance,Orbiter Finance | Type: Corporation | Tier: 4 | Location: Not specified
knights-capital,Knights Capital | Type: Venture | Tier: 4 | Location: Not specified
kairos-capital,Kairos Capital | Type: Venture | Tier: 4 | Based in Singapore
crypto-labs,Crypto Labs | Type: Venture | Tier: 4 | Location: Not specified
nirvana-labs,Nirvana Labs | Type: Corporation | Tier: 4 | Location: Not specified
drip,DRiP | Type: Corporation | Tier: 4 | Location: Not specified
matr1x,Matr1x | Type: Corporation | Tier: 4 | Location: Not specified
tibas-ventures,TIBAS Ventures | Type: Venture | Tier: 4 | Location: Not specified
druid-ventures,Druid Ventures | Type: Venture | Tier: 4 | Based in United States
backbone-ventures,BackBone Ventures | Type: Venture | Tier: 4 | Based in Switzerland
bloom-foundation,Bloom Foundation | Type: Venture | Tier: 4 | Location: Not specified
fondation-valery,Fondation Valery | Type: Venture | Tier: 4 | Based in Switzerland
steakhouse-financial,Steakhouse Financial | Type: Corporation | Tier: 4 | Based in Cayman Islands
unbounded-capital,Unbounded Capital | Type: Venture | Tier: 4 | Location: Not specified
permutation,Permutation | Type: Venture | Tier: 4 | Location: Not specified
tokka-labs,Tokka Labs | Type: Venture | Tier: 4 | Location: Not specified
blockchain-association-of-europe,Blockchain Association of Europe (BCAEU) | Type: Corporation | Tier: 4 | Based in Germany
hope-chain,Hope Chain | Type: Corporation | Tier: 4 | Location: Not specified
nebula-investments,Nebula Investments | Type: Corporation | Tier: 4 | Based in UAE
dmail,DMAIL | Type: Corporation | Tier: 4 | Location: Not specified
panga-capital,Panga Capital | Type: Venture | Tier: 4 | Location: Not specified
smart-island-capital,Smart Island Capital | Type: Venture | Tier: 4 | Location: Not specified
azh-advisory,AZH Advisory | Type: Corporation | Tier: 4 | Location: Not specified
coinstash,Coinstash | Type: Exchange | Tier: 4 | Location: Not specified
frontier-research,Frontier Research | Type: Corporation | Tier: 4 | Location: Not specified
icc,IC Combinator | Type: Incubator | Tier: 4 | Location: Not specified
iskra,Iskra | Type: Corporation | Tier: 4 | Location: Not specified
overtake,OVERTAKE | Type: Corporation | Tier: 4 | Location: Not specified
wellxy,Wellxy | Type: Corporation | Tier: 4 | Location: Not specified
eiventures,EI Ventures | Type: Venture | Tier: 4 | Based in United States
blackedge-capital,Black Edge Capital | Type: Venture | Tier: 4 | Location: Not specified
dexcheck-ai,DexCheck AI | Type: Corporation | Tier: 4 | Location: Not specified
cyberrock-venture,Cyberrock Venture | Type: Venture | Tier: 4 | Location: Not specified
giga-chad-ventures,Giga Chad Ventures | Type: Venture | Tier: 4 | Location: Not specified
pier-two,Pier Two | Type: Corporation | Tier: 4 | Location: Not specified
sony,Sony | Type: Corporation | Tier: 4 | Location: Not specified
daman-investments,Daman Investments | Type: Venture | Tier: 4 | Location: Not specified
upside,Upside DAO | Type: DAO | Tier: 4 | Based in Australia
ouroboros-capital,Ouroboros Capital | Type: Hedge Fund | Tier: 4 | Based in United States
beraland,BeraLand | Type: Corporation | Tier: 4 | Location: Not specified
boba-tea-capital,Boba Tea Capital | Type: Venture | Tier: 4 | Location: Not specified
good-partners,Good Partners | Type: Venture | Tier: 4 | Location: Not specified
hash-key-capital,HashKey Capital | Type: Venture | Tier: 1 | Based in Hong Kong
coinbase-ventures,Coinbase Ventures | Type: Venture | Tier: 1 | Based in United States
delphi-ventures,Delphi Ventures | Type: Venture | Tier: 1 | Location: Not specified
circle,Circle | Type: Venture | Tier: 1 | Based in United States
a16z-csx,a16z CSX | Type: Incubator | Tier: 1 | Location: Not specified
polychain-capital,Polychain Capital | Type: Venture | Tier: 1 | Based in United States
sandeep-nailwal,Sandeep Nailwal | Type: Angel Investor | Tier: 1 | Based in India
spartan-group,The Spartan Group | Type: Venture | Tier: 1 | Based in Hong Kong
galaxy-digital,Galaxy | Type: Venture | Tier: 1 | Based in United States
stani-kulechov,Stani Kulechov | Type: Angel Investor | Tier: 1 | Based in United Kingdom
andreessen-horowitz,Andreessen Horowitz (a16z) | Type: Venture | Tier: 1 | Based in United States
vaneck,VanEck | Type: Venture | Tier: 1 | Based in United States
dragon-fly-capital,DragonFly Capital | Type: Venture | Tier: 1 | Based in United States
balaji-srinivasan,Balaji Srinivasan | Type: Angel Investor | Tier: 1 | Based in United States
paradigm,Paradigm | Type: Venture | Tier: 1 | Based in United States
sequoia-capital,Sequoia Capital | Type: Venture | Tier: 1 | Based in United States
binance-labs,YZi Labs (Prev. Binance Labs) | Type: Incubator | Tier: 1 | Based in Malta
santiago-santos,Santiago R. Santos | Type: Angel Investor | Tier: 1 | Based in United Kingdom
bryan-pellegrino,Bryan Pellegrino | Type: Angel Investor | Tier: 1 | Based in Canada
consensys,ConsenSys | Type: Corporation | Tier: 1 | Based in United States
multicoin-capital,Multicoin Capital | Type: Venture | Tier: 1 | Based in United States
black-rock,BlackRock | Type: Corporation | Tier: 1 | Based in United States
raj-gokal,Raj Gokal | Type: Angel Investor | Tier: 1 | Based in United States
pantera-capital,Pantera Capital | Type: Venture | Tier: 1 | Based in United States
paul-veradittakit,Paul Veradittakit | Type: Angel Investor | Tier: 1 | Based in United States
vitalik-buterin,Vitalik Buterin | Type: Angel Investor | Tier: 1 | Based in Switzerland
blockchain-capital,Blockchain Capital | Type: Venture | Tier: 1 | Based in United States
alex-svanevik,Alex Svanevik | Type: Angel Investor | Tier: 1 | Based in Singapore
y-combinator,Y Combinator | Type: Incubator | Tier: 1 | Based in United States
arthur-hayes,Arthur Hayes | Type: Angel Investor | Tier: 1 | Based in Hong Kong
animoca-brands,Animoca Brands | Type: Venture | Tier: 3 | Based in Hong Kong
quantstamp,Quantstamp | Type: Corporation | Tier: 2 | Based in United States
amber-group,Amber Group | Type: Venture | Tier: 2 | Based in Hong Kong
greenfield-one,Greenfield Capital | Type: Venture | Tier: 2 | Based in Germany
tether,Tether | Type: Corporation | Tier: 2 | Based in United States
polygon-ventures,P2 Ventures (Polygon Ventures) | Type: Venture | Tier: 2 | Based in United States
mh-ventures,MH Ventures | Type: Venture | Tier: 2 | Based in United Kingdom
fenbushi-capital,Fenbushi Capital | Type: Venture | Tier: 2 | Based in China
robot-ventures,Robot Ventures | Type: Venture | Tier: 2 | Based in United States
infinity-ventures-crypto,IVC | Type: Venture | Tier: 2 | Based in Taiwan
6th-man-ventures,6th Man Ventures | Type: Venture | Tier: 2 | Based in United States
hypersphereventures,Hypersphere Ventures | Type: Venture | Tier: 2 | Based in United States
lightspeed-venture-partners,Lightspeed Venture Partners | Type: Venture | Tier: 2 | Based in United States
rockaway-blockchain-fund,RockawayX | Type: Venture | Tier: 2 | Based in Czech Republic
alliance-dao,Alliance DAO | Type: Incubator | Tier: 2 | Based in United States
framework-ventures,Framework Ventures | Type: Venture | Tier: 2 | Based in Canada
mirana-ventures,Mirana Ventures | Type: Venture | Tier: 2 | Based in Hong Kong
electric-capital,Electric Capital | Type: Venture | Tier: 2 | Based in United States
standard-crypto,Standard Crypto | Type: Venture | Tier: 2 | Based in United States
coin-fund,CoinFund | Type: Venture | Tier: 2 | Based in United States
variant,Variant | Type: Venture | Tier: 2 | Based in United States
unionsquare,Union Square Ventures (USV) | Type: Venture | Tier: 2 | Based in United States
ribbit-capital,Ribbit Capital | Type: Venture | Tier: 2 | Based in United States
cmt-digital,CMT Digital | Type: Venture | Tier: 2 | Based in United States
paul-taylor,Paul Taylor | Type: Angel Investor | Tier: 2 | Based in United States
dcg-group,Digital Currency Group (DCG) | Type: Venture | Tier: 2 | Based in United States
okx-ventures,OKX Ventures | Type: Venture | Tier: 2 | Based in Seychelles
kenetic-capital,Kenetic Capital | Type: Venture | Tier: 2 | Based in Hong Kong
sequoia-capital-china,HongShan (ex-Sequoia China) | Type: Venture | Tier: 2 | Based in China
gsr,GSR | Type: Venture | Tier: 2 | Based in Hong Kong
mgx,MGX | Type: Venture | Tier: 2 | Based in UAE
arrington-xrp-capital,Arrington XRP Capital | Type: Venture | Tier: 2 | Based in United States
slowventures,Slow Ventures | Type: Venture | Tier: 2 | Based in United States
1kx,1kx | Type: Venture | Tier: 2 | Based in Netherlands
maven11,Maven 11 Capital | Type: Venture | Tier: 2 | Based in Netherlands
wintermute,Wintermute | Type: Venture | Tier: 2 | Based in United Kingdom
boost-vc,Boost VC | Type: Venture | Tier: 2 | Based in United States
ripple,Ripple | Type: Corporation | Tier: 2 | Based in United States
iosg,IOSG Ventures | Type: Venture | Tier: 2 | Based in Hong Kong
hack-vc,Hack VC | Type: Venture | Tier: 2 | Based in United States
a16z-speedrun,a16z speedrun | Type: Venture | Tier: 2 | Based in United States
web3-foundation,Web3 Foundation | Type: Corporation | Tier: 2 | Based in Switzerland
nascent,Nascent | Type: Venture | Tier: 2 | Based in United States
mexc-ventures,MEXC Ventures | Type: Venture | Tier: 2 | Location: Not specified
paraficapital,ParaFi Capital | Type: Venture | Tier: 2 | Based in United States
shima-capital,Shima Capital | Type: Venture | Tier: 2 | Based in United States
draper-dragon,Draper Dragon | Type: Venture | Tier: 2 | Based in China
alchemy,Alchemy | Type: Corporation | Tier: 2 | Based in United States
avalanche-foundation,Avalanche Foundation | Type: Corporation | Tier: 2 | Based in United States
gv,GV Google Ventures | Type: Venture | Tier: 2 | Based in United States
egirlcapital,eGirl Capital | Type: Venture | Tier: 2 | Based in United States
fabric-ventures,Fabric Ventures | Type: Venture | Tier: 2 | Based in United Kingdom
mechanism-capital,Mechanism Capital | Type: Venture | Tier: 2 | Based in United States
dwf-labs,DWF Labs | Type: Venture | Tier: 2 | Based in Singapore
hashed-fund,Hashed Fund | Type: Venture | Tier: 2 | Based in South Korea
bain-capital-crypto,Bain Capital Crypto | Type: Venture | Tier: 2 | Based in United States
the-sandbox,The Sandbox | Type: Corporation | Tier: 2 | Based in United States
yield-guild-games,Yield Guild Games (YGG) | Type: DAO | Tier: 2 | Based in Philippines
1-confirmation,1confirmation | Type: Venture | Tier: 2 | Based in United States
tribecapital,Tribe Capital | Type: Venture | Tier: 2 | Based in United States
redpoint,Redpoint | Type: Venture | Tier: 2 | Based in United States
mapleblock-capital,Mapleblock Capital | Type: Venture | Tier: 2 | Based in India
fbg-capital,FBG Capital | Type: Venture | Tier: 2 | Based in China
tiger-global-management,Tiger Global Management | Type: Venture | Tier: 2 | Based in United States
animoca-brands-kk,Animoca Brands Japan | Type: Venture | Tier: 3 | Based in Japan
visa,Visa | Type: Corporation | Tier: 2 | Based in United States
tronfoundation,TRON Foundation | Type: Corporation | Tier: 2 | Based in Singapore
sinoglobalcapital,Ryze Labs (Sino Global Capital) | Type: Venture | Tier: 2 | Based in Bahamas
genblock-capital,Genblock Capital | Type: Venture | Tier: 2 | Based in United States
sequoia-capital-india,Peak XV Partners(ex-Sequoia India) | Type: Venture | Tier: 2 | Based in India
ava-labs,Ava Labs | Type: Incubator | Tier: 2 | Based in United States
eden-block,Eden Block | Type: Venture | Tier: 2 | Based in Israel
polygon-studios,Polygon Studios | Type: Venture | Tier: 2 | Based in United States
jumptrading,Jump Trading | Type: Venture | Tier: 2 | Based in United States
jp-morgan,J.P. Morgan | Type: Corporation | Tier: 2 | Based in United States
temasek,Temasek | Type: Venture | Tier: 2 | Based in Singapore
alibaba-group,Alibaba Group | Type: Corporation | Tier: 2 | Based in China
qcp-capital,QCP Capital | Type: Venture | Tier: 2 | Based in Singapore
robinhood,Robinhood | Type: Corporation | Tier: 2 | Based in United States
de-fiance-capital,DeFiance Capital | Type: Venture | Tier: 2 | Based in Singapore
galxe,Galxe | Type: Corporation | Tier: 2 | Based in United States
pet-rock-capital,PetRock Capital | Type: Venture | Tier: 2 | Based in Singapore
goldman-sachs,Goldman Sachs | Type: Corporation | Tier: 2 | Based in United States
icetea-labs,Icetea Labs | Type: Incubator | Tier: 2 | Based in Singapore
seven-seven-six,Seven Seven Six | Type: Venture | Tier: 2 | Based in United States
dapper-labs,Dapper Labs | Type: Corporation | Tier: 2 | Based in Canada
greylock-partners,Greylock Partners | Type: Venture | Tier: 2 | Based in United States
samsung,Samsung | Type: Corporation | Tier: 2 | Based in South Korea
ubisoft-entertainment-sa,Ubisoft Entertainment SA | Type: Corporation | Tier: 2 | Based in France
binance-us,Binance.US | Type: Exchange | Tier: 2 | Based in United States
morgan-stanley,Morgan Stanley | Type: Corporation | Tier: 2 | Based in United States
sequoia-heritage,Sequoia Heritage | Type: Venture | Tier: 2 | Based in United States
samsung-venture-investment,Samsung Venture Investment | Type: Venture | Tier: 2 | Based in South Korea
castrum-capital,Castrum Capital | Type: Venture | Tier: 3 | Based in British Virgin Islands
foresight-ventures,Foresight Ventures | Type: Venture | Tier: 3 | Based in Singapore
aptos,Aptos | Type: Corporation | Tier: 3 | Based in United States
jupiter,Jupiter | Type: Corporation | Tier: 3 | Location: Not specified
morph,Morph | Type: Corporation | Tier: 3 | Location: Not specified
brevan-howard-digital,Brevan Howard Digital | Type: Venture | Tier: 3 | Based in United Kingdom
tech-stars,Techstars | Type: Incubator | Tier: 3 | Based in United States
dewhales,Dewhales | Type: Venture | Tier: 3 | Location: Not specified
daedalus,Daedalus | Type: Venture | Tier: 3 | Based in Switzerland
symbolic-capital,Symbolic Capital | Type: Venture | Tier: 3 | Based in United States
reciprocal-ventures,Reciprocal Ventures | Type: Venture | Tier: 3 | Based in United States
escape-velocity,Escape Velocity (EV3) | Type: Corporation | Tier: 3 | Based in Australia
circle-ventures,Circle Ventures | Type: Venture | Tier: 3 | Based in United States
gate-io,Gate.io | Type: Exchange | Tier: 3 | Based in China
bitkraftventures,Bitkraft Ventures | Type: Venture | Tier: 3 | Based in United States
strobe-ventures,Strobe (Prev. BlockTower Capital) | Type: Venture | Tier: 3 | Based in United States
gnosis,Gnosis | Type: Corporation | Tier: 3 | Based in United States
hardyaka,Hard Yaka | Type: Venture | Tier: 3 | Based in United States
canonical-crypto,Canonical Crypto | Type: Venture | Tier: 3 | Based in United States
bitgo,BitGo | Type: Corporation | Tier: 3 | Based in United States
norwest,Norwest | Type: Venture | Tier: 3 | Based in United States
ngc-ventures,NGC Ventures | Type: Venture | Tier: 3 | Based in Singapore
lattice,Lattice | Type: Venture | Tier: 3 | Based in United States
blueyard-capital,BlueYard Capital | Type: Venture | Tier: 3 | Based in Germany
faction,Faction | Type: Venture | Tier: 3 | Based in United States
first-round-capital,First Round Capital | Type: Venture | Tier: 3 | Based in United States
bmw-i-ventures,BMW i Ventures | Type: Venture | Tier: 3 | Based in United States
bosch-ventures,Bosch Ventures | Type: Venture | Tier: 3 | Based in Germany
ibc-ventures,IBC Ventures | Type: Venture | Tier: 3 | Based in UAE
collab-currency,Collab+Currency | Type: Venture | Tier: 3 | Based in United States
outlier-ventures,Outlier Ventures | Type: Incubator | Tier: 3 | Based in United Kingdom
dwf-ventures,DWF Ventures | Type: Venture | Tier: 3 | Location: Not specified
blockchain-founders-fund,Blockchain Founders Fund | Type: Venture | Tier: 3 | Based in Singapore
anagram-crypto,Anagram Crypto | Type: Venture | Tier: 3 | Location: Not specified
paper-ventures,Paper Ventures | Type: Venture | Tier: 3 | Location: Not specified
cyber-fund,cyber Fund | Type: Venture | Tier: 3 | Based in Cayman Islands
mystenlabs,Mysten Labs | Type: Corporation | Tier: 3 | Based in United States
borderless-capital,Borderless Capital | Type: Venture | Tier: 3 | Based in United States
dao5,dao5 | Type: DAO | Tier: 3 | Based in United States
dba,DBA | Type: Venture | Tier: 3 | Based in United States
delphi-labs,Delphi Labs | Type: Incubator | Tier: 3 | Location: Not specified
gate-ventures,Gate Ventures | Type: Venture | Tier: 3 | Based in Cayman Islands
cypher-capital,Cypher Capital | Type: Venture | Tier: 3 | Based in UAE
founders-fund,Founders Fund | Type: Venture | Tier: 3 | Based in United States
haun-ventures,Haun Ventures | Type: Venture | Tier: 3 | Based in United States
phantom,Phantom | Type: Corporation | Tier: 3 | Location: Not specified
no-limit-holdings,No Limit Holdings | Type: Venture | Tier: 3 | Location: Not specified
alphalab-capital,Caladan | Type: Venture | Tier: 3 | Based in Singapore
snz-holding,SNZ Holding | Type: Venture | Tier: 3 | Based in Hong Kong
faculty-group,Faculty Group | Type: Venture | Tier: 3 | Based in Australia
polymorphic-capital,Polymorphic Capital | Type: Venture | Tier: 3 | Location: Not specified
optimism,Optimism | Type: Corporation | Tier: 3 | Location: Not specified
generative-vc,Generative Ventures | Type: Venture | Tier: 3 | Location: Not specified
bingX-labs,BingX Labs | Type: Exchange | Tier: 3 | Location: Not specified
morningstar-ventures,Morningstar Ventures | Type: Venture | Tier: 3 | Based in UAE
uniswap-labs-ventures,Uniswap Labs Ventures | Type: Venture | Tier: 3 | Based in United States
finality-capital-partners,Finality Capital Partners | Type: Venture | Tier: 3 | Based in United States
palm-tree-crew,Palm Tree Crew | Type: Venture | Tier: 3 | Based in United States
master-ventures,MV Global | Type: Venture | Tier: 3 | Based in Hong Kong
chapter-one,Chapter One | Type: Venture | Tier: 3 | Based in United States
ton-ventures,TON Ventures | Type: Venture | Tier: 3 | Location: Not specified
ledger,Ledger | Type: Corporation | Tier: 3 | Location: Not specified
arbitrum-foundation,Arbitrum Foundation | Type: Corporation | Tier: 3 | Based in United States
movement,Movement | Type: Corporation | Tier: 3 | Location: Not specified
coinbureau,CoinBureau | Type: Venture | Tier: 3 | Location: Not specified
arkstream-capital,ArkStream Capital | Type: Venture | Tier: 3 | Based in China
sky-mavis,Sky Mavis | Type: Venture | Tier: 3 | Location: Not specified
axelar-network,Axelar | Type: Corporation | Tier: 3 | Based in Canada
y2z-ventures,y2z Ventures | Type: Venture | Tier: 3 | Location: Not specified
abcde,ABCDE | Type: Venture | Tier: 3 | Based in Singapore
reverie,Reverie | Type: Corporation | Tier: 3 | Based in United States
chain-gpt-labs,ChainGPT Labs | Type: Incubator | Tier: 3 | Based in Saint Vincent and the Grenadines
ape-terminal,Ape Terminal | Type: Corporation | Tier: 3 | Location: Not specified
ethereal-ventures,Ethereal Ventures | Type: Venture | Tier: 3 | Based in United States
bankless,Bankless Ventures | Type: Venture | Tier: 3 | Location: Not specified
decubate,Decubate Ventures | Type: Incubator | Tier: 3 | Based in Netherlands
burnt,XION | Type: Corporation | Tier: 3 | Location: Not specified
offchain-labs,Offchain Labs | Type: Corporation | Tier: 3 | Based in United States
kronosresearch,Kronos | Type: Venture | Tier: 3 | Based in Taiwan
a-capital,a_capital | Type: Venture | Tier: 3 | Based in United States
magnus-capital,Magnus Capital | Type: Incubator | Tier: 3 | Based in United States
7xvc,SevenX Ventures | Type: Venture | Tier: 3 | Based in Singapore
global-coin-research,Global Coin Research | Type: Corporation | Tier: 3 | Based in United States
north-rock-capital,North Rock Capital | Type: Venture | Tier: 3 | Location: Not specified
longhashvc,LongHash Ventures | Type: Venture | Tier: 3 | Based in Singapore
gamefi-ventures,GameFi Ventures | Type: Venture | Tier: 3 | Based in Hong Kong
nexocorp,Nexo | Type: Corporation | Tier: 3 | Based in United Kingdom
token-metrics,Token Metrics Ventures | Type: Corporation | Tier: 3 | Based in United States
everest-ventures,Everest Ventures | Type: Venture | Tier: 3 | Based in Hong Kong
race-capital,Race Capital | Type: Venture | Tier: 3 | Based in United States
pokergo,PokerGO | Type: Corporation | Tier: 3 | Based in United States
ton-foundation,TON Foundation | Type: Corporation | Tier: 3 | Based in Switzerland
bitwise,Bitwise | Type: Corporation | Tier: 3 | Based in United States
dune,Dune | Type: Corporation | Tier: 3 | Location: Not specified
kip-protocol,KIP Protocol | Type: Corporation | Tier: 3 | Location: Not specified
avacloud,AvaCloud | Type: Corporation | Tier: 3 | Location: Not specified
mantle,Mantle | Type: Corporation | Tier: 3 | Location: Not specified
nexus-mutual,Nexus Mutual | Type: Corporation | Tier: 3 | Location: Not specified
chromia,Chromia | Type: Venture | Tier: 3 | Based in Sweden
pstake,pSTAKE | Type: Corporation | Tier: 3 | Location: Not specified
anthos-capital,Anthos Capital | Type: Venture | Tier: 3 | Based in United States
coindesk,CoinDesk | Type: Corporation | Tier: 3 | Based in United States
wormhole,Wormhole | Type: Corporation | Tier: 3 | Location: Not specified
chia-network,Chia Network | Type: Corporation | Tier: 3 | Location: Not specified
ld-capital,LD Capital | Type: Venture | Tier: 3 | Based in China
placeholder-ventures,Placeholder Ventures | Type: Venture | Tier: 3 | Based in United States
ether-fi,ether.fi | Type: Corporation | Tier: 3 | Location: Not specified
pancakeswap,PancakeSwap | Type: Corporation | Tier: 3 | Location: Not specified
manta-network,Manta Network | Type: Corporation | Tier: 3 | Based in China
igloo,Igloo | Type: Corporation | Tier: 3 | Location: Not specified
marshland-capital,Marshland Capital | Type: Venture | Tier: 3 | Based in Saint Lucia
ceras-ventures,Ceras Ventures | Type: Venture | Tier: 3 | Based in United Kingdom
m12,M12 | Type: Venture | Tier: 3 | Based in United States
fjord-foundry,Fjord Foundry | Type: Corporation | Tier: 3 | Location: Not specified
xbtohumla,Humla Ventures | Type: Venture | Tier: 3 | Based in France
notcoin,Notcoin | Type: Corporation | Tier: 3 | Location: Not specified
bitfarms,Bitfarms | Type: Corporation | Tier: 3 | Location: Not specified
good-games-guild,Good Games Guild | Type: Guild | Tier: 3 | Based in Indonesia
matter-labs,Matter Labs | Type: Corporation | Tier: 3 | Based in Germany
memeland,Memeland | Type: Corporation | Tier: 3 | Based in Hong Kong
zksync,ZKsync | Type: Corporation | Tier: 3 | Location: Not specified
longhashX,LongHashX | Type: Incubator | Tier: 3 | Location: Not specified
stratos-technologies,Stratos Technologies | Type: Venture | Tier: 3 | Based in United States
riot-blockchain,Riot Blockchain | Type: Corporation | Tier: 3 | Location: Not specified
iotex,IoTeX | Type: Corporation | Tier: 3 | Based in United States
tencent,Tencent | Type: Corporation | Tier: 3 | Based in China
matrixport,Matrixport | Type: Venture | Tier: 3 | Based in Singapore
draper-goren-blockchain,draper goren blockchain | Type: Venture | Tier: 3 | Location: Not specified
op-crypto,Inception capital | Type: Venture | Tier: 3 | Based in United States
defi-technologies,DeFi Technologies | Type: Corporation | Tier: 3 | Location: Not specified
foresightx,ForesightX | Type: Incubator | Tier: 3 | Location: Not specified
cleanspark,Cleanspark | Type: Corporation | Tier: 3 | Based in United States
hashed-emergent,Hashed Emergent | Type: Venture | Tier: 3 | Location: Not specified
eigenlayer,EigenLayer | Type: Corporation | Tier: 3 | Based in United States
linea,Linea | Type: Venture | Tier: 3 | Location: Not specified
kr1,KR1 | Type: Venture | Tier: 3 | Based in United Kingdom
kb-investment,KB Investment | Type: Venture | Tier: 3 | Based in South Korea
backedvc,BACKED | Type: Venture | Tier: 3 | Based in United Kingdom
braza-bank,Braza Bank | Type: Venture | Tier: 3 | Location: Not specified
frax,Frax | Type: Corporation | Tier: 3 | Location: Not specified
